Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Leslie Michele Burr-Howard (-Leneghan-),F,39,167,55,United States,USA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Leroy Russell Burrell,M,25,183,82,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Jordan Ernest Burroughs,M,24,171,79,United States,USA,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Sean Patrick Burroughs,M,20,188,91,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
"Wellington Parker Burtnett, Jr.",M,25,182,84,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Christopher Burton,M,34,180,70,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
"Michael Jay ""Mike"" Burton",M,21,175,70,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,Gold
"Michael Jay ""Mike"" Burton",M,21,175,70,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
"Michael Jay ""Mike"" Burton",M,25,175,70,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
"Michael Jay ""Mike"" Burton",M,25,175,70,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Tom Burton,M,26,180,81,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold
Mikhail Ivanovich Burtsev,M,20,178,74,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Sabre, Team",Gold
Mikhail Ivanovich Burtsev,M,24,178,74,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Individual",Silver
Mikhail Ivanovich Burtsev,M,24,178,74,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Team",Gold
Mikhail Ivanovich Burtsev,M,32,178,74,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Silver
Michel Georges Bury,M,32,179,74,France,FRA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Olga Valentinovna Buryakina,F,30,174,62,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Bronze
Bianka Bua,F,22,187,74,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver
Istvn Busa,M,27,170,72,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Bronze
Sabine Busch (-Ascui),F,25,177,66,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Antje Buschschulte (-Meeuw),F,17,186,75,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Antje Buschschulte (-Meeuw),F,21,186,75,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Antje Buschschulte (-Meeuw),F,25,186,75,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Antje Buschschulte (-Meeuw),F,25,186,75,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Antje Buschschulte (-Meeuw),F,25,186,75,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Frank Busemann,M,21,191,80,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,Silver
Karl-Heinz Buert,M,21,194,84,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,Gold
"Lesley Leigh Bush (-Hickcox, -Makepeace)",F,17,163,52,United States,USA,1964 Summer,1964,Summer,Tokyo,Diving,Diving Women's Platform,Gold
"Bertram Herbert Thomas ""Bert"" Bushnell",M,26,178,67,Great Britain,GBR,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
Viktor Georgiyevich Bushuyev,M,27,162,67,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,Gold
Andro Bulje,M,26,200,115,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
Andro Bulje,M,30,200,115,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver
Yevhen Leonidovych Buslovych,M,28,168,58,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
"Gabriele ""Gaby"" Bumann",F,24,170,57,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Crystl Irene Bustos,F,23,173,102,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
Crystl Irene Bustos,F,26,173,102,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
Crystl Irene Bustos,F,30,173,102,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
Veniamin Yevgenyevich But,M,27,191,95,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Silver
Yvonne Buter,F,29,162,58,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
Simone Buti,M,32,206,100,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
Micha Butkiewicz,M,26,173,69,Poland,POL,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Team",Bronze
Aleksandr Anatolyevich Butko,M,26,198,97,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
Vytautas Butkus,M,26,190,86,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,Silver
Dean William Butler,M,27,172,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
Everard Burnside Butler,M,26,183,72,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Single Sculls,Bronze
Jimmy Butler III,M,26,201,99,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
Leon Edward Butler,M,31,183,75,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
Vyacheslav Gennadyevich Butsayev,M,21,187,83,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Jahangir Ahmed Butt,M,25,175,70,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
Jahangir Ahmed Butt,M,29,175,70,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Silver
Linus Butt,M,29,186,83,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Bronze
"Jeffrey ""Jeff"" Buttle",M,23,173,60,Canada,CAN,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Men's Singles,Bronze
James Aaron Butts,M,26,188,82,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Triple Jump,Silver
Matthew Butturini,M,24,181,81,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Dajana Butulija,F,30,175,65,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Bronze
Nataliya Anatolyevna Butuzova,F,26,167,58,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Archery,Archery Women's Individual,Silver
"Anton Gerrit Jan ""Ton"" Buunk",M,23,196,91,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Bronze
Nataliya Vasilyevna Buzunova,F,22,172,66,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze
Ilya Vladimirovich Byakin,M,25,178,83,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Karyn L. Bye (-Dietz),F,26,173,75,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Karyn L. Bye (-Dietz),F,30,173,75,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Byeon Cheon-Sa,F,18,167,58,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
Byeon Gyeong-Ja,F,20,172,61,South Korea,KOR,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball,Bronze
Anatoly Mikhaylovich Bykov,M,22,170,74,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Anatoly Mikhaylovich Bykov,M,26,170,74,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
"Vyacheslav Arkadyevich ""Slava"" Bykov",M,27,173,73,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
"Vyacheslav Arkadyevich ""Slava"" Bykov",M,31,173,73,Unified Team,EUN,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Nataliya Viktorovna Bykova (-Zvonaryova),F,21,160,59,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze
Tamara Vladimirovna Bykova,F,29,179,62,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's High Jump,Bronze
Bror Erik Bylhn,M,26,172,61,Sweden,SWE,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Bror Erik Bylhn,M,30,172,61,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 800 metres,Silver
Ingamay Christina Bylund,F,36,176,64,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
"Christopher Cornelius ""Chris"" Byrd",M,21,185,75,United States,USA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,Silver
"Richard Leslie ""Dick"" Byrd",M,19,181,88,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Discus Throw,Silver
James Andrew Byrnes,M,25,200,93,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
James Andrew Byrnes,M,29,200,93,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Silver
"Jacob Walter ""Wally"" Byron",M,35,180,65,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Galina Petrovna Bystrova (Dolzhenkova-),F,30,170,65,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Pentathlon,Bronze
Nataliya Bystrova,F,17,175,67,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Lars Bystl,M,27,179,60,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
Lars Bystl,M,27,179,60,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Bronze
Lars Bystl,M,27,179,60,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
Francisco Caballer Saleras,M,27,175,80,Spain,ESP,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze
Denia Caballero Ponce,F,26,175,70,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,Bronze
Nuria Cabanillas Provencio,F,15,162,38,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Alba Mara Cabello Rodilla,F,22,163,47,Spain,ESP,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Alba Mara Cabello Rodilla,F,26,163,47,Spain,ESP,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Javier Cabot Durn,M,26,170,69,Spain,ESP,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Silver
Ricardo Cabot Durn,M,30,174,76,Spain,ESP,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Silver
"Frederike Jacobie ""Mieke"" Cabout",F,22,182,70,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
Delfo Cabrera Gmez,M,29,172,59,Argentina,ARG,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Marathon,Gold
Fermn Cacho Ruiz,M,23,175,65,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",Gold
Fermn Cacho Ruiz,M,27,175,65,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",Silver
"Raymond ""Ray"" Cadieux",M,26,178,77,Canada,CAN,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Ernest Cadine,M,26,167,82,France,FRA,1920 Summer,1920,Summer,Antwerpen,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Jrmy Cadot,M,29,185,78,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Silver
Erin Jane Cafaro (-McKenzie),F,25,175,73,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Erin Jane Cafaro (-McKenzie),F,29,175,73,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
Harold D. Cagle,M,22,178,64,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Franco Giorgio Cagnotto,M,25,163,60,Italy,ITA,1972 Summer,1972,Summer,Munich,Diving,Diving Men's Springboard,Silver
Franco Giorgio Cagnotto,M,25,163,60,Italy,ITA,1972 Summer,1972,Summer,Munich,Diving,Diving Men's Platform,Bronze
Franco Giorgio Cagnotto,M,29,163,60,Italy,ITA,1976 Summer,1976,Summer,Montreal,Diving,Diving Men's Springboard,Silver
Franco Giorgio Cagnotto,M,33,163,60,Italy,ITA,1980 Summer,1980,Summer,Moskva,Diving,Diving Men's Springboard,Bronze
Tania Cagnotto (-Parolin),F,31,160,54,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,Bronze
Tania Cagnotto (-Parolin),F,31,160,54,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Silver
Yav Samuel Sylvain Cahard,M,22,180,86,France,FRA,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's Sprint,Silver
Trevor John Cahill,M,20,193,99,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
Caitlin Kinder Cahow,F,20,163,68,United States,USA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Caitlin Kinder Cahow,F,24,163,68,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Cai Huijue,F,16,174,63,China,CHN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Cai Tongtong,F,18,168,48,China,CHN,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Cai Yalin,M,23,174,60,China,CHN,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Cai Yun,M,28,181,68,China-1,CHN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Doubles,Silver
Cai Yun,M,32,181,68,China-1,CHN,2012 Summer,2012,Summer,London,Badminton,Badminton Men's Doubles,Gold
Cai Zelin,M,25,175,55,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Silver
Carl Cecil Cain,M,22,190,86,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
"Lawrence J. ""Larry"" Cain",M,21,182,83,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
"Lawrence J. ""Larry"" Cain",M,21,182,83,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Chiara Cainero,F,30,171,81,Italy,ITA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Women's Skeet,Gold
Chiara Cainero,F,38,171,81,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Skeet,Silver
Maureen Caird (-Jones),F,17,165,52,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,Gold
Christopher Cairns,M,27,177,68,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,Bronze
Petr ajnek,M,30,180,82,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Asl akr (-Alptekin),F,26,168,50,Turkey,TUR,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",Gold
David Cal Figueroa,M,21,183,86,Spain,ESP,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
David Cal Figueroa,M,21,183,86,Spain,ESP,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
David Cal Figueroa,M,25,183,86,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
David Cal Figueroa,M,25,183,86,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
David Cal Figueroa,M,29,183,86,Spain,ESP,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Giovanni Calabrese,M,33,184,88,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Double Sculls,Bronze
Lucas Calabrese,M,25,168,60,Argentina,ARG,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Bronze
Jordi Joan Calafat Estelrich,M,24,174,64,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Two Person Dinghy,Gold
Giampaolo Calanchini,M,23,178,73,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Team",Bronze
Giampaolo Calanchini,M,27,178,73,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Team",Silver
Wladimiro Calarese,M,29,169,77,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Individual",Bronze
Wladimiro Calarese,M,29,169,77,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Sabre, Team",Bronze
Wladimiro Calarese,M,34,169,77,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Team",Silver
Wladimiro Calarese,M,38,169,77,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",Silver
Attilio Calatroni,M,26,174,63,Italy,ITA,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",Silver
Alessandro Calcaterra,M,21,187,102,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Bronze
Roberto Calcaterra,M,24,186,90,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Bronze
Gianni Caldana,M,22,180,70,Italy,ITA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Paolo Caldarella,M,27,187,88,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Gold
"David ""Dave"" Calder",M,30,195,90,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
"Stephen ""Steve"" Calder",M,26,204,96,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Jos Manuel Caldern Borrallo,M,26,191,90,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Silver
Jos Manuel Caldern Borrallo,M,30,191,90,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Silver
Jos Manuel Caldern Borrallo,M,34,191,90,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Miguel Caldern Gmez,M,21,183,79,Cuba,CUB,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Bronze
Rosir Calderon Daz,F,19,191,70,Cuba,CUB,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Bronze
Miguel Calds Luis,M,25,185,85,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold
Miguel Calds Luis,M,29,185,85,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver
Vladimr Caldr,M,25,177,81,Czechoslovakia,TCH,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Hilary Caldwell,F,25,173,61,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Bronze
Hubert Augustus Caldwell (-Aspinwall),M,20,189,84,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,Gold
"Joseph Louis ""Joe"" Caldwell",M,22,196,89,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
Hctor O. Calegaris,M,45,175,75,Tango,ARG,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed Three Person Keelboat,Silver
Anton Calenic,M,25,181,78,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Lee Quincy Calhoun,M,23,185,75,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 110 metres Hurdles,Gold
Lee Quincy Calhoun,M,27,185,75,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,Gold
Ryan Callahan,M,24,180,86,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Mara Luisa Calle Williams,F,35,170,51,Colombia,COL,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Points Race,Bronze
Clarence H. Callender,M,26,179,75,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Emmanuel Earl Callender,M,24,189,86,Trinidad and Tobago,TTO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Emmanuel Earl Callender,M,28,189,86,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Els Callens,F,30,177,58,Belgium,BEL,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Women's Doubles,Bronze
Novella Calligaris,F,17,163,48,Italy,ITA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 400 metres Freestyle,Silver
Novella Calligaris,F,17,163,48,Italy,ITA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Novella Calligaris,F,17,163,48,Italy,ITA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Facundo Callioni,M,30,183,77,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
Ashley John Callus,M,21,188,85,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Ashley John Callus,M,29,188,85,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Jan aloun,M,25,178,86,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Dyana Jane Calub,F,24,175,69,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Schillonie Calvert,F,23,166,57,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Eva Calvo Gmez,F,25,176,57,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Silver
Juan ngel Calzado de Castro,M,23,180,70,Spain,ESP,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze
"Elizabeth Folake ""Liz"" Cambage",F,20,203,98,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
Ivn Cambar Rodrguez,M,28,163,77,Cuba,CUB,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Bronze
Irene Camber-Corno,F,26,169,63,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Women's Foil, Individual",Gold
Irene Camber-Corno,F,34,169,63,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Team",Bronze
"Asuka Antonio ""Aska"" Cambridge",M,23,179,74,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Ibrahim Camejo Savas,M,26,180,79,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,Bronze
"Bertland ""Bert"" Cameron",M,28,188,79,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
